id_carrera,matricula,nombre,matricula_tutor,telefono,correo
ISftwS,A543,Pablo Valadez Hernandez,T1234,4021326554,stimpabo27@gmail.com
ISftw,A101,Alumno 2,P1004,4921456666,rzamarripam2001@gmail.com
IDsr,A0000,Pablo Valadez Hernandez,T1234,4021326554,stimpabo27@gmail.como
ISftw,A102,Alexis Lopez,T1111,4921456666,rzamarripam2001@gmail.com
ISftw,A103,Brayan,T1234,4921456666,rzamarripam2001@gmail.com
ICmp,A210,Kevin,T1234,4921456666,kevin@gmail.com
ISftw,A121,Esteban Sanchez,T1111,4921456666,rogerzma500@gmail.com
ISftw,A130,Juan3,T1234,4023453234,correo@gmail.com
IEInd,A302,Luis Lopez,T0014,4921456666,rzamarripam1900@alumno.ipn.mx
ISftw,A120,Alumno 120,P1003,4921456666,rogerzma500@gmail.com
ISftw,A122,Alumno 122,P1003,4921456666,rogerzma500@gmail.com
